"","x"
"1",41512.2817843443
"2",37328.9968658798
"3",71160.8795145247
"4",35440.6719840056
"5",35233.2903421684
"6",34409.7865619635
"7",35001.6880083185
"8",53030.6451416464
"9",30315.5604696902
"10",45674.8937932849
"11",33639.4580049567
