"matchId","matchCreation","summonerId","championId","winner","firstBloodKill","firstTowerKill","firstTowerAssist","kills","assists","deaths","goldEarned","totalDamageDealt","magicDamageDealt","physicalDamageDealt","totalDamageDealtToChampions","totalDamageTaken","minionsKilled","neutralMinionsKilled","totalTimeCrowdControlDealt","wardsPlaced","towerKills","largestMultiKill","largestKillingSpree","largestCriticalStrike","totalHeal"
456190912,1421848825509,4051366,222,0,0,0,0,6,6,5,16521,287312,39199,248113,27630,18338,306,21,74,15,1,1,2,1052,2442
456190912,1421848825509,5702012,421,0,0,0,0,5,11,8,14503,183506,22973,150067,19792,39490,70,81,549,10,0,1,2,0,8432
456190912,1421848825509,4992905,86,0,0,0,0,2,2,5,8734,45118,407,44587,2877,31896,63,5,105,3,0,1,2,0,1641
456190912,1421848825509,3346576,53,0,0,0,0,3,7,9,9847,44774,38516,6257,13212,34722,20,1,98,25,0,1,2,0,6489
456190912,1421848825509,4332395,45,0,0,0,0,6,3,8,13053,164460,140633,22701,18833,18992,187,3,55,13,2,1,2,0,633
456208962,1421855789482,1507778,80,1,0,0,0,5,5,4,6035,32890,1229,31204,9520,8537,57,1,18,4,0,2,2,599,143
456208962,1421855789482,941118,412,1,0,0,1,2,18,2,7173,13954,8530,5423,5549,7092,8,0,89,11,0,1,2,0,772
456208962,1421855789482,980157,104,1,1,1,0,17,9,1,10734,73384,506,71814,15869,7737,90,7,288,5,2,2,15,646,1692
456208962,1421855789482,3260326,19,1,0,0,0,1,14,2,6319,49474,17311,23458,3441,14904,10,32,82,3,1,1,0,0,6867
456208962,1421855789482,2208811,115,1,0,0,0,5,11,1,7772,48874,34706,14168,10173,6637,95,3,121,2,2,1,5,0,271
456208962,1421855789482,3598767,58,0,0,0,0,5,1,3,6520,49583,1213,47379,7167,11555,105,2,79,1,0,2,4,0,2242
456208962,1421855789482,2231438,7,0,0,0,0,3,0,4,3813,16935,9086,7608,6034,8393,35,0,21,3,0,1,2,0,118
456208962,1421855789482,1623232,254,0,0,0,0,2,1,9,4338,38008,3767,30832,4226,15682,16,27,380,4,0,1,0,0,434
456208962,1421855789482,2100314,222,0,0,0,0,0,5,8,3811,24755,992,23763,4928,9744,41,1,31,1,0,0,0,267,104
456208962,1421855789482,2466922,12,0,0,0,0,0,8,6,4111,9571,5200,2964,3079,9928,13,0,73,5,0,0,0,0,2274
456214046,1421855086764,1703748,104,1,0,0,0,7,11,3,12935,146234,765,145036,17589,12732,202,10,138,4,1,2,3,669,2029
456214046,1421855086764,5094164,254,1,0,0,0,7,8,4,9988,96258,5338,82767,9991,17959,19,55,459,5,2,2,3,414,489
456214046,1421855086764,4330707,103,1,0,0,0,8,6,3,9489,63691,34044,9489,17362,9772,89,5,22,8,1,3,8,0,627
456214046,1421855086764,7621611,82,1,0,0,0,2,1,3,9295,117443,102070,14568,4588,6267,178,3,3,7,2,1,2,0,1102
456214046,1421855086764,4108671,412,1,0,0,0,2,12,3,7197,13028,8860,4168,5315,14276,18,0,91,6,0,1,0,0,1776
456214046,1421855086764,3895015,25,0,0,0,0,1,5,6,6607,46924,42192,4732,7637,11811,57,0,79,18,0,1,0,0,683
456214046,1421855086764,1822931,429,0,0,0,0,0,0,0,4078,5669,0,5669,517,263,31,0,12,1,0,0,0,0,42
456214046,1421855086764,4202801,113,0,0,1,0,1,5,8,6433,44599,27161,12318,5231,22389,23,22,256,3,1,1,0,0,407
456214046,1421855086764,451232,7,0,1,0,0,11,2,6,9438,60457,50347,8972,23060,16606,87,3,77,8,0,2,3,0,1148
456214046,1421855086764,1873919,157,0,0,0,1,3,1,6,8531,120910,19692,100325,9613,15346,183,9,140,6,0,1,3,369,735
456160419,1421842731791,5896454,236,0,0,0,0,4,3,5,8779,68866,1619,66917,12921,14212,145,3,86,5,0,1,2,564,152
456160419,1421842731791,8312816,35,0,0,0,0,3,4,6,5988,42476,17035,20987,5647,16901,12,26,327,3,0,1,2,262,112
456160419,1421842731791,5380198,64,0,0,0,0,5,1,5,7755,84439,20948,62842,12046,18654,118,8,481,5,0,1,2,0,577
456160419,1421842731791,4435581,7,0,0,0,0,5,6,3,7950,44234,32398,11304,10779,15725,78,3,63,11,0,3,3,0,467
456160419,1421842731791,3999648,201,0,0,0,0,1,6,5,6401,24451,10889,6447,7439,19898,44,0,719,5,0,1,0,0,1882
456160419,1421842731791,611071,107,1,1,0,0,8,6,3,10378,113162,17143,84475,13488,19254,22,53,551,8,0,2,4,0,2704
456160419,1421842731791,2071589,101,1,0,0,0,3,6,5,8696,93054,74095,17829,20248,9232,110,6,218,7,2,1,2,0,238
456160419,1421842731791,1701593,412,1,0,0,0,2,13,2,7874,17691,12036,5654,7730,14261,22,0,159,15,1,1,2,0,1025
456160419,1421842731791,2153240,106,1,0,0,0,4,2,4,9262,79994,35442,44552,10277,19772,142,0,428,10,2,1,3,0,1431
456160419,1421842731791,1877023,104,1,0,0,0,7,10,4,11137,96777,4575,92202,18174,11962,165,6,48,8,2,2,3,741,1463
456211875,1421853689751,2311990,37,0,0,0,0,1,3,2,4761,8194,6167,2026,4061,8797,4,0,4,18,0,1,0,0,3436
456211875,1421853689751,2956175,59,0,0,0,0,2,5,6,6126,56626,8621,41569,3870,15852,21,36,509,8,0,2,2,178,1036
456211875,1421853689751,4972575,119,0,0,0,0,1,5,4,6738,66714,467,66246,5119,11147,127,1,22,0,0,1,0,705,1193
456211875,1421853689751,4613905,61,0,0,0,0,3,4,3,7272,75921,62558,12886,7578,10879,129,5,1031,5,0,1,2,0,460
456211875,1421853689751,773121,102,0,0,0,0,0,3,3,6583,72691,31212,41478,7215,14713,138,7,137,5,0,0,0,0,282
456211875,1421853689751,3696599,86,1,1,0,0,4,3,0,8577,93020,3227,89478,12032,11177,149,0,95,10,2,1,4,0,495
456211875,1421853689751,539253,99,1,0,0,0,3,7,0,8243,97545,79732,17215,15453,4700,117,8,346,8,0,1,3,0,125
456211875,1421853689751,2556886,25,1,0,0,1,2,11,3,7473,11593,8604,2989,6046,7680,7,0,81,11,0,1,0,0,160
456211875,1421853689751,7700572,19,1,0,0,0,0,5,2,5945,51330,13595,30583,2271,16525,9,36,122,7,1,0,0,0,7209
456211875,1421853689751,7001669,51,1,0,1,0,9,3,2,11528,135470,851,133711,14260,7509,201,8,233,2,2,2,4,996,229
456215088,1421855620702,4786707,84,0,1,0,0,4,3,4,5408,29646,10378,18907,9586,11779,50,0,259,4,0,2,2,0,242
456215088,1421855620702,6741995,120,0,0,0,0,2,2,2,4232,23242,5336,15791,4675,10259,13,8,46,6,0,1,0,0,1511
456215088,1421855620702,6394242,201,0,0,0,0,0,5,5,4030,11917,4842,5636,4368,12654,14,1,488,6,0,0,0,0,701
456215088,1421855620702,4843176,119,0,0,0,0,0,0,1,2967,3123,0,3123,0,1438,9,0,0,1,0,0,0,0,0
456215088,1421855620702,9123791,126,0,0,0,0,1,0,1,5291,51908,1943,49964,4987,6092,100,1,42,3,1,1,0,0,0
456215088,1421855620702,861962,80,1,0,0,0,2,1,0,6439,72897,2928,69680,4426,6827,122,1,19,4,1,1,2,757,367
456215088,1421855620702,1165522,25,1,0,1,0,1,9,2,5914,38156,24471,13115,11627,9913,58,4,104,10,1,1,0,0,328
456215088,1421855620702,5166572,15,1,0,0,0,4,2,1,6402,53046,0,53046,6061,3321,83,4,0,5,1,3,3,436,771
456215088,1421855620702,9141406,33,1,0,0,1,2,5,2,5697,44267,19595,20398,5459,11841,27,25,388,4,0,1,0,0,992
456215088,1421855620702,1970509,53,1,0,0,1,3,6,3,5531,29655,17901,9122,6103,11147,37,2,55,9,0,2,2,0,1607
456216170,1421856242425,11723340,7,1,0,0,0,14,18,7,16297,149836,126237,22392,31222,23195,156,15,104,7,1,3,5,0,2106
456216170,1421856242425,1165773,67,1,0,1,0,25,6,6,19583,223958,151,201934,41527,25955,220,26,580,2,2,5,8,1034,3278
456216170,1421856242425,2068693,40,1,0,0,1,1,33,4,11982,29569,20895,8674,8833,22061,11,0,249,32,0,1,0,0,7590
456216170,1421856242425,2349663,102,1,0,0,0,3,19,6,14137,193858,122626,71003,29807,38531,240,5,399,2,2,1,3,0,1125
456216170,1421856242425,806650,64,1,0,0,0,8,22,3,13950,132501,39555,81980,17585,36020,59,54,1227,28,0,2,6,0,1694
456216170,1421856242425,526292,58,0,0,0,0,3,10,7,11950,147593,28007,118482,24091,40704,205,1,305,10,3,1,2,0,7895
456216170,1421856242425,411644,103,0,0,0,0,10,7,10,13010,133922,74726,14893,27389,27326,157,16,42,5,0,2,4,0,4479
456216170,1421856242425,3269402,119,0,0,0,0,10,6,12,15452,177102,7710,168057,36799,27941,215,4,239,2,2,3,4,1178,0
456216170,1421856242425,1943877,267,0,0,0,0,1,15,11,9609,16419,11127,5291,8962,24708,4,1,267,25,0,1,0,0,8562
456216170,1421856242425,452366,254,0,1,0,0,2,10,11,10342,137155,6756,118980,12161,31885,41,58,703,8,0,1,0,0,1194
456198034,1421852097794,1931123,7,1,0,1,0,19,13,3,15499,166753,140473,24026,41343,15654,170,15,170,2,1,2,9,0,674
456198034,1421852097794,1680890,80,1,1,0,0,6,13,4,9880,73506,9495,60080,11971,22998,27,35,281,3,1,3,3,705,765
456198034,1421852097794,3068578,40,1,0,0,0,1,27,2,9899,15231,7965,7266,6664,11292,5,0,165,6,1,1,0,0,10909
456198034,1421852097794,1301399,15,1,0,0,0,11,14,4,13393,166253,6902,157999,30637,18395,179,8,185,3,2,3,5,751,1992
456198034,1421852097794,1873308,92,1,0,0,0,6,13,6,11281,121731,0,121169,20772,22535,144,9,88,9,4,2,3,0,904
456198034,1421852097794,434853,38,0,0,0,0,10,5,7,11383,71397,53922,16358,17432,28193,128,5,170,5,1,1,5,0,1942
456198034,1421852097794,1356760,9,0,0,0,0,6,3,13,8340,77386,67054,5232,11461,25183,32,33,309,8,0,2,3,0,5896
456198034,1421852097794,3591902,201,0,0,0,0,0,11,10,6831,19453,9834,5221,7444,33984,25,0,875,8,0,0,0,0,1972
456198034,1421852097794,4626010,58,0,0,0,0,2,7,5,9436,119136,11603,106752,15083,29918,178,0,38,9,1,1,0,0,5607
456198034,1421852097794,1935609,67,0,0,0,0,1,4,9,8176,73418,684,65697,12285,20571,146,8,137,3,0,1,0,135,2412
456163118,1421844472829,3317781,105,1,0,0,0,5,1,1,6678,49348,33006,16036,7173,9162,89,4,156,5,1,1,4,0,146
456163118,1421844472829,3841498,81,1,1,0,0,13,1,0,8395,66007,11056,54950,16383,7464,100,0,0,2,0,1,13,430,790
456163118,1421844472829,1652208,161,1,0,0,0,2,7,2,5820,24511,19665,3026,6669,5590,17,0,70,9,1,1,0,0,0
