"","firstBloodKill","firstTowerKill","firstTowerAssist","kills","assists","deaths","goldEarned","totalDamageDealt","magicDamageDealt","physicalDamageDealt","totalDamageDealtToChampions","totalDamageTaken","minionsKilled","neutralMinionsKilled","totalTimeCrowdControlDealt","wardsPlaced","towerKills","largestMultiKill","largestKillingSpree","largestCriticalStrike","totalHeal"
"totalDamageDealtToChampions",0.170741522802263,0.143129688537776,0.0070746186355446,0.801748302235339,0.396213177858973,0.248521840033372,0.848246254517386,0.757932959061567,0.332772403134382,0.490289294293962,NA,0.467545231834192,0.650500064259146,0.237508631326233,0.188146117165515,0.0576399797432756,0.407140366929797,0.582051017663174,0.641787456801077,0.330898287437544,0.141214397863223
"totalDamageTaken",0.0261265414615275,-0.00891572159490164,-0.0392450826014652,0.295761269562897,0.363759075646358,0.641919266678649,0.527785907456463,0.449190481587515,0.217201232665987,0.340137508143902,0.467545231834192,NA,0.156464189026105,0.361676837828542,0.410925001222501,0.213607089779926,0.055460450217278,0.18772111459618,0.0946080471932634,0.0678108504726757,0.427661148601966
"minionsKilled",0.137554659221925,0.169415836300349,-0.058158451317555,0.552602783657319,-0.0664452773023923,0.0557791985413626,0.592765259797887,0.773760950480395,0.0910650857388431,0.6364039292049,0.650500064259146,0.156464189026105,NA,0.0978668628773317,-0.0663160081708474,-0.192569540457851,0.426416712503858,0.437667513403769,0.482927552954296,0.490337602999944,-0.032989284920461
"neutralMinionsKilled",0.0485959198400643,0.0462863676516852,-0.00451628474024446,0.3138060463186,0.128263508679145,0.0406414762856305,0.381501527835061,0.566060832316519,0.109639568936726,0.507171479669521,0.237508631326233,0.361676837828542,0.0978668628773317,NA,0.456963936781442,-0.0689400990448268,0.18232879111284,0.23580665975072,0.269967882629825,0.190316359786865,0.179900340175529
"totalTimeCrowdControlDealt",0.00985378116328855,0.00198055230239309,0.0203577773709167,0.176320793324837,0.288112884803003,0.0759575699702519,0.30057993789938,0.277392288693329,0.255293533634075,0.175778774584112,0.188146117165515,0.410925001222501,-0.0663160081708474,0.456963936781442,NA,0.14404068489683,0.0773364232527048,0.115905669681376,0.143051970419281,-0.107913409770312,0.204296057214595
"wardsPlaced",-0.0247137607941644,-0.0351978845863075,0.08203608002183,-0.0619397808796755,0.393942198567997,0.0853712991945376,0.165059242376442,-0.0903789671575067,0.175710159633995,-0.219022454772887,0.0576399797432756,0.213607089779926,-0.192569540457851,-0.0689400990448268,0.14404068489683,NA,-0.0430462313010557,-0.0721538976418735,-0.0811967639278864,-0.200410917890399,0.208406994585415
"towerKills",0.134672236232151,0.353384291535891,0.0243320478172438,0.446767775088691,0.215630335635633,-0.187217705217263,0.518468587864931,0.483301775648179,0.00787532060903858,0.446204632103541,0.407140366929797,0.055460450217278,0.426416712503858,0.18232879111284,0.0773364232527048,-0.0430462313010557,NA,0.342596861711941,0.447003829579716,0.319650209042853,0.0979829125498242
"largestMultiKill",0.144081082329101,0.124291120370681,0.0134511978046883,0.746124305352335,0.14928565598904,0.0239453980522623,0.565858596354697,0.513273448643772,0.132075909278863,0.404623623784592,0.582051017663174,0.18772111459618,0.437667513403769,0.23580665975072,0.115905669681376,-0.0721538976418735,0.342596861711941,NA,0.687585209738637,0.295928022665319,0.0456965687614445
"largestKillingSpree",0.203624959544473,0.167167914132206,0.0386766329205311,0.869272874201507,0.18149893258851,-0.205226562060399,0.643171889312015,0.575855715019266,0.163997122563771,0.440409623577037,0.641787456801077,0.0946080471932634,0.482927552954296,0.269967882629825,0.143051970419281,-0.0811967639278864,0.447003829579716,0.687585209738637,NA,0.295160568397583,0.0568926024031761
"largestCriticalStrike",0.0795901450603855,0.117202675809981,-0.00735740669508171,0.343376841345478,-0.0377100593542757,0.0517162958733413,0.350416747522148,0.476141081955942,-0.353797431636216,0.66541138664314,0.330898287437544,0.0678108504726757,0.490337602999944,0.190316359786865,-0.107913409770312,-0.200410917890399,0.319650209042853,0.295928022665319,0.295160568397583,NA,-0.0259118328018102
"totalHeal",0.00943975718173831,0.0230560212902973,0.0500596941958808,0.0830098430119522,0.342433331035999,0.0533814752746245,0.277485428831918,0.158989708466701,0.102753928150737,0.0716487669784994,0.141214397863223,0.427661148601966,-0.032989284920461,0.179900340175529,0.204296057214595,0.208406994585415,0.0979829125498242,0.0456965687614445,0.0568926024031761,-0.0259118328018102,NA
