"","x"
"1",42646.3757346268
"2",44381.4200978563
"3",41791.9210321908
"4",37200.055330133
"5",43683.8109099008
"6",34460.0877695158
"7",35141.1584005378
"8",42832.3291245975
"9",40293.727353583
"10",40472.9773230664
"11",41776.2388694926
