"","Kills","Deaths","GoldEarned","TotalDamageDealt","MagicDamageDealt","PhysicalDamageDealt","TotalDamageDealtToChampions","TotalDamageTaken","MinionsKilled","WardsPlaced","TowerKills","LargestMultiKill","LargestKillingSpree","LargestCritStrike"
"1",1.58314677188821,0.32695595875318,1.34321452409686,1.04446295918153,2.60608011342856,-0.574801477984445,1.81897672249366,0.512953627119107,0.961724701021269,-0.0449785832141638,0.240045546843761,1.10333888610845,1.1523827634856,-0.557934542432358
"2",0.301588516979153,0.864106972048345,0.597392435403693,0.339301888141889,0.0282744239118869,0.26701697180742,0.348060700893373,1.54017363261701,-0.260875938896799,0.0798668886459077,-0.131486145301457,0.16322028336189,0.0530032630745014,-0.373975040400417
"3",0.582112913039357,0.659947919615314,1.05248885442352,1.28353592395382,-0.364841069895055,1.551077140577,0.86238734661194,0.741441483452281,1.16978813757722,-0.208011315441694,0.36629242164292,0.412235768019139,0.225129417014547,1.45695739195066
"4",-0.285966757193658,0.015827473775437,-0.126287439543898,0.162085365066982,-0.590734818495644,0.55705418031991,-0.223447543800673,-0.210185480073035,0.550085716647152,-0.416993942815445,0.00336685925213359,-0.192067043659394,-0.260705413631295,0.766006776188814
"5",0.199940264853856,-0.989292275528333,-0.31377318669703,-0.362194017445214,-0.100748216241918,-0.313504722531271,-0.343640089722951,-0.723762949900394,-0.240950911499505,-0.393032987889151,0.11435243223929,0.383937961176815,0.742151978449579,-0.370122738977097
"6",-0.786649162174669,0.0794167337365481,-0.191451850096445,-0.956645416377872,-0.271761377593592,-0.793561365082739,-0.575592104234496,0.179956187387954,-1.01915014148399,2.41449769713738,-0.438353258791542,-0.645555405042644,-0.726275203441134,-0.620810975728264
"7",0.128056836723148,0.10253864970294,0.294846932384707,0.313512312916416,1.59037538415801,-0.687468790619376,0.469909360955738,-0.0158970020331804,0.526482535485332,-0.150041772467578,-0.173012434834783,0.0285371812871345,0.0787397295108413,-0.603633289377039
"8",1.02554588984057,-0.723238949107318,0.673100879646971,0.620596904459495,-0.465598414439625,0.947869965430073,0.494275191807806,-0.36151109515672,0.778363227137375,-0.413556407843519,1.65026460362365,1.02082337589698,1.36331004658038,1.079274104664
"9",-0.942571514613218,-0.696679329030373,-1.2888304678506,-1.00353826836712,-0.509885245656352,-0.690837366330981,-1.04481258945441,-1.00973382506876,-0.853372424465244,-0.265920962923766,-0.547007980821978,-0.83615225498996,-0.814991399099776,-0.495817920354464
"10",-0.587610987076656,0.693510800163059,-0.622792453066326,-0.564485025580737,-0.186284307260944,-0.47368927528156,-0.520879138280159,0.192413870713924,-0.649520653590337,-0.24876960988881,-0.54887334486444,-0.442845924825067,-0.648140140545836,-0.483195888333511
"11",1.92572274697634,0.31242213667074,2.0609697898257,2.32609624258772,-0.22779545601994,2.5364366816941,2.0792471164665,0.833061745562344,1.72169536687171,-0.19039133512979,1.5022917609746,1.45154013843618,1.35660132691772,2.07644331777904
