"matchId","summonerId","Win","FirstBlood","FirstTower","FirstTowerAssist","Kills","Assists","Deaths","GoldEarned","TotalDamageDealt","MagicDamageDealt","PhysicalDamageDealt","TotalDamageDealtToChampions","TotalDamageTaken","MinionsKilled","NeutralMinionsKilled","CrowdControl","WardsPlaced","TowerKills","LargestMultiKill","LargestKillingSpree","LargestCritStrike","TotalHealAmount"
456160419,8312816,0,0,0,0,3,4,6,5988,42476,17035,20987,5647,16901,12,26,327,3,0,1,2,262,112
456160419,5380198,0,0,0,0,5,1,5,7755,84439,20948,62842,12046,18654,118,8,481,5,0,1,2,0,577
456160419,4435581,0,0,0,0,5,6,3,7950,44234,32398,11304,10779,15725,78,3,63,11,0,3,3,0,467
456160419,3999648,0,0,0,0,1,6,5,6401,24451,10889,6447,7439,19898,44,0,719,5,0,1,0,0,1882
456160419,611071,1,1,0,0,8,6,3,10378,113162,17143,84475,13488,19254,22,53,551,8,0,2,4,0,2704
456160419,2071589,1,0,0,0,3,6,5,8696,93054,74095,17829,20248,9232,110,6,218,7,2,1,2,0,238
456160419,1701593,1,0,0,0,2,13,2,7874,17691,12036,5654,7730,14261,22,0,159,15,1,1,2,0,1025
456160419,2153240,1,0,0,0,4,2,4,9262,79994,35442,44552,10277,19772,142,0,428,10,2,1,3,0,1431
456160419,1877023,1,0,0,0,7,10,4,11137,96777,4575,92202,18174,11962,165,6,48,8,2,2,3,741,1463
456174757,2491506,1,0,0,0,4,5,4,13220,168128,0,154600,15977,16150,185,21,159,5,5,1,2,779,1949
456174757,2301160,1,0,0,0,1,12,5,9823,60202,50038,10163,15885,24182,38,0,431,11,0,1,0,0,2236
456174757,593516,1,1,1,0,7,3,5,11777,82079,33498,48136,12171,20570,90,12,288,6,2,1,3,0,88
456174757,2518164,1,0,0,0,9,6,7,15896,236477,212496,23922,31238,20415,264,18,1520,4,0,1,3,0,80
456174757,1693090,1,0,0,1,3,6,3,11682,136855,105462,19207,10784,21301,60,62,386,10,0,1,0,0,1244
456174757,4997381,0,0,0,0,8,5,3,15043,207018,2760,203843,22681,22016,269,5,102,12,0,1,4,922,1498
456174757,5170423,0,0,0,0,2,13,4,9044,25602,13469,8692,12199,19770,28,0,85,26,0,1,0,0,1867
456174757,551458,0,0,0,0,7,3,10,10989,80136,61601,17626,18202,25452,135,3,184,10,0,1,2,0,5806
456174757,1836363,0,0,0,0,6,6,3,12799,168787,135133,19964,19983,29221,211,9,492,7,0,1,3,0,7711
456174757,5572836,0,0,0,0,1,5,4,10680,144409,33874,76711,2139,29092,84,57,403,11,1,1,0,0,10543
456162826,472511,0,0,0,0,9,6,14,14981,164087,71048,91509,16868,38139,222,6,697,13,1,2,5,0,566
456162826,483555,0,0,0,0,5,12,10,14093,178021,17937,149954,13760,38605,95,69,640,11,1,2,3,0,1560
456162826,1767587,0,0,0,0,0,21,2,11369,25157,17709,7447,12923,23268,16,0,249,47,0,0,0,0,11982
456162826,3100334,0,0,0,0,8,10,5,17708,257185,130323,118206,44925,34326,288,36,167,8,3,2,5,998,5604
456162826,4270527,0,0,0,0,5,9,3,14404,179791,124025,54640,26826,41945,231,11,689,12,1,1,5,0,14969
456162826,4128504,1,0,0,0,0,26,5,12634,28625,21751,6873,6772,22062,23,0,293,46,1,0,0,0,9843
456162826,2118972,1,0,0,0,12,14,4,18180,248403,152539,29561,38146,24113,256,24,101,11,3,2,10,0,6793
456162826,2970815,1,0,0,0,6,17,5,17341,239140,1154,236888,30316,23266,275,6,211,7,1,1,4,1292,5101
456162826,3518125,1,1,0,0,11,19,8,18247,248462,223425,13895,44739,46702,72,90,489,14,2,1,3,0,26027
456162826,3647373,1,0,0,0,5,13,5,15433,181933,29807,152126,24141,44629,220,16,51,13,1,1,2,0,9274
456161516,1164333,1,0,0,0,5,6,3,11818,176974,83284,76938,5542,18214,47,103,1778,8,1,1,3,555,2025
456161516,6970484,1,0,0,0,5,7,3,10442,103090,4583,98507,12877,10545,149,3,1026,3,3,1,3,603,2078
456161516,2241793,1,0,0,0,5,6,3,8599,73494,61185,11760,19443,7658,111,4,352,7,1,1,2,0,195
456161516,2193166,1,0,0,0,2,6,5,7781,41028,32673,8029,9423,14649,39,2,1218,12,1,1,0,0,40
456161516,3095952,1,0,0,1,3,5,1,8551,62665,3145,59519,4494,14934,109,0,3934,2,0,2,3,221,2331
456161516,802691,0,0,0,0,3,0,4,7608,75844,65534,9789,14962,7950,143,0,79,7,0,1,3,0,150
456161516,942484,0,0,0,0,0,8,3,6042,19228,14621,4607,6772,13536,9,0,83,19,0,0,0,0,1545
